Type,Wanted station,#,CS,Info1,cx,Rx frequency MHz,KTBF dBm,Polar,Interferer,#,CS,Info1,Tx frequency MHz,Unwanted Pr dBm,Polar,TD dB,Cumulated TD dB,IRF dB,IRF from,XPD dB,Tx pow dBm,Tx BW kHz,Tx addloss dB,Tx losses dB,Tx antgain dB,Tx main OAA,Tx ant att dB,Rx BW kHz,Rx losses dB,Rx ant gain dB,Rx main OAA,Rx ant att dB,Distance m,Prop loss dB,Tx az,Tx tilt,Rx az,Rx tilt,Wind turbine unwanted power (dBm),Tx->Rx az,Tx->Rx tilt
Microwave (wanted),FREDERICK,1,X_1008933,FAA 110533,1,7765,-94,H,MD,39,N   153584,ST INIGOES,7900,-180.43,V,0,0,0,IRF MASK,12.8,53.38,6880,0,0,40,140.31,50,30000,0,40.3,26.71,38.13,177028.7,213.14,144.3,39,122,-0.3,-999,328.7,-0.4
Microwave (wanted),FREDERICK,1,X_1008933,FAA 110533,1,7765,-94,H,MD,40,AR  120812,FT MEADE,7901.167,-189.6,V,0,0,0,IRF MASK,19.5,22.73,94,0,0,58,57.66,68,30000,0,40.3,2.78,24.94,77050.12,198.23,249,16,122,-0.3,-999,304.8,0.1
Microwave (wanted),FREDERICK,1,X_1008933,FAA 110533,1,7765,-94,H,MD,41,AR  130712,FT DETRICK,7901.167,-121.13,V,0.01,0.01,0,IRF MASK,17.4,24.73,94,0,0,58,140.69,68,30000,0,40.3,7.17,28.64,9716.31,130.07,142,40,122,-0.3,-999,308.8,2.6
Microwave (wanted),FREDERICK,1,X_1008933,FAA 110533,1,7765,-94,H,MD,42,AR  130728,FT DETRICK,7901.167,-123.13,V,0.01,0.01,0,IRF MASK,17.4,22.73,94,0,0,58,60.87,68,30000,0,40.3,7.17,28.64,9716.31,130.07,249,17,122,-0.3,-999,308.8,2.6
Microwave (wanted),FREDERICK,1,X_1008933,FAA 110533,1,7765,-94,H,MD,43,AR  130756,FT DETRICK,7901.167,-121.13,V,0.01,0.02,0,IRF MASK,17.4,24.73,94,0,0,58,60.87,68,30000,0,40.3,7.17,28.64,9716.31,130.07,249,17,122,-0.3,-999,308.8,2.6
Microwave (wanted),FREDERICK,1,X_1008933,FAA 110533,1,7765,-94,H,MD,44,AR  130766,FT MEADE,7901.167,-189.6,V,0,0.02,0,IRF MASK,19.5,22.73,94,0,0,62,138.34,72,30000,0,40.3,2.78,24.94,77050.12,198.23,144,38,122,-0.3,-999,304.8,0.1
Microwave (wanted),FREDERICK,1,X_1008933,FAA 110533,1,7765,-94,H,MD,45,AR  130767,FT MEADE,7901.167,-187.6,V,0,0.02,0,IRF MASK,19.5,24.73,94,0,0,58,137.95,68,30000,0,40.3,2.78,24.94,77050.12,198.23,145,38,122,-0.3,-999,304.8,0.1
Microwave (wanted),FREDERICK,1,X_1008933,FAA 110533,1,7765,-94,H,MD,46,AR  210709,FT MEADE,7901.302,-206.14,V,0,0.02,0,IRF MASK,19.5,13.73,94,0,0,58,158.88,68,30000,0,40.3,2.78,24.94,77050.13,205.77,107,11,122,-0.3,-999,304.8,0.1
Microwave (wanted),FREDERICK,1,X_1008933,FAA 110533,1,7765,-94,H,MD,47,AR  130729,FT DETRICK,7976.687,-121.21,V,0.01,0.03,0,IRF MASK,17.4,24.73,94,0,0,58,60.87,68,30000,0,40.3,7.17,28.64,9716.31,130.15,249,17,122,-0.3,-999,308.8,2.6
Microwave (wanted),FREDERICK,1,X_1008933,FAA 110533,1,7765,-94,H,MD,48,AR  170763,FT MEADE,7998.822,-199.12,V,0,0.03,0,IRF MASK,19.5,21.02,40000,0,0,58,57.66,68,30000,0,40.3,2.78,24.94,77050.13,206.04,249,16,122,-0.3,-999,304.8,0.1
Microwave (wanted),FREDERICK,1,X_1008933,FAA 110533,1,7765,-94,H,MD,49,AR  210737,FT MEADE,8023.562,-197.48,V,0,0.03,0,IRF MASK,19.5,22.73,94,0,0,58,57.66,68,30000,0,40.3,2.78,24.94,77050.13,206.11,249,16,122,-0.3,-999,304.8,0.1
Microwave (wanted),FREDERICK,1,X_1008933,FAA 110533,1,7765,-94,H,MD,50,AR  170790,FT DETRICK,8026.167,-123.26,V,0.01,0.04,0,IRF MASK,17.4,22.73,94,0,0,58,141.91,68,30000,0,40.3,7.18,28.65,9716.45,130.2,144,38,122,-0.3,-999,308.8,2.6
Microwave (wanted),FREDERICK,1,X_1008933,FAA 110533,1,7765,-94,H,MD,51,AR  180715,FT MEADE,8026.167,-197.49,V,0,0.04,0,IRF MASK,19.5,22.73,94,0,0,58,138.35,68,30000,0,40.3,2.78,24.94,77050.13,206.12,144,38,122,-0.3,-999,304.8,0.1
Microwave (wanted),FREDERICK,1,X_1008933,FAA 110533,1,7765,-94,H,MD,52,AR  180711,FT MEADE,8045.237,-194.86,V,0,0.04,0,IRF MASK,19.5,25.41,5510,0,0,58,57.66,68,30000,0,40.3,2.78,24.94,77050.13,206.17,249,16,122,-0.3,-999,304.8,0.1
Microwave (wanted),FREDERICK,1,X_1008933,FAA 110533,1,7765,-94,H,MD,53,AR  180714,FT MEADE,8078.271,-189.82,V,0,0.04,0,IRF MASK,19.5,30.54,7150,0,0,58,57.66,68,30000,0,40.3,2.78,24.94,77050.13,206.26,249,16,122,-0.3,-999,304.8,0.1
Microwave (wanted),FREDERICK,1,X_1008933,FAA 110533,1,7765,-94,H,MD,54,AR  170772,FT MEADE,8123.35,-195.78,V,0,0.04,0,IRF MASK,19.5,24.7,741.42,0,0,57,138.35,67,30000,0,40.3,2.78,24.94,77050.13,206.38,144,38,122,-0.3,-999,304.8,0.1
Microwave (wanted),FREDERICK,1,X_1008933,FAA 110533,1,7765,-94,H,MD,55,AR  130819,FT MEADE,8143.442,-198.66,V,0,0.04,0,IRF MASK,19.5,21.88,1940,0,0,58,138.35,68,30000,0,40.3,2.78,24.94,77050.13,206.44,144,38,122,-0.3,-999,304.8,0.1
Microwave (wanted),FREDERICK,1,X_1008933,FAA 110533,1,7765,-94,H,MD,56,AR  210736,FT MEADE,8151.167,-197.83,V,0,0.04,0,IRF MASK,19.5,22.73,94,0,0,58,57.66,68,30000,0,40.3,2.78,24.94,77050.13,206.46,249,16,122,-0.3,-999,304.8,0.1
Microwave (wanted),FREDERICK,1,X_1008933,FAA 110533,1,7765,-94,H,MD,57,AR  170769,FT MEADE,8180.4,-205.64,V,0,0.04,0,IRF MASK,19.5,15,1000,0,0,57,138.35,67,30000,0,40.3,2.78,24.94,77050.13,206.54,144,38,122,-0.3,-999,304.8,0.1
Microwave (wanted),MOUNT AIRY,2,X_1008933,FAA 110534,1,8125,-94,H,MD,39,N   153584,ST INIGOES,7900,-202.48,V,0,0,0,IRF MASK,6,53.38,6880,0,0,40,139.38,50,30000,0,40.3,147.21,66,149261.27,214.16,144.3,39,302,0,-999,334.8,-0.4
Microwave (wanted),MOUNT AIRY,2,X_1008933,FAA 110534,1,8125,-94,H,MD,40,AR  120812,FT MEADE,7901.167,-208.86,V,0,0,0,IRF MASK,6,22.73,94,0,0,58,60.52,68,30000,0,40.3,173.99,66,44820.1,189.89,249,16,302,0,-999,308,0.2
